Term,Label
Film emulation,Non-term
Maximal scale ridge,Term
Conservation purpose condition phenomenon,Non-term
In practice means minimizing camera shake,Term
Optical granulometry,Term
Higher-order function,Term
One-dimensional signal,Non-term
Minkowski,Non-term
Public infrastructure security application,Non-term
Fixational eye movement,Term
Difference-of-Gaussians interest point,Term
Display plane,Non-term
Scale-space framework,Term
Geometric mean filter,Term
Store environment,Non-term
Normalized image coordinate,Term
Anaglyphic contrast balance,Non-term
Digital space,Non-term
Periodic noise,Non-term
Illuminant,Term
Axiomatic derivation,Non-term
Shopping mall,Non-term
Automatic sign language,Term
Algorithm marching cube,Term
Inertial tracking,Term
Probability distribution,Non-term
EMCCD,Non-term
Most computer vision system,Term
Light scanning photomacrography,Non-term
Non-lagged receptive field,Non-term
Optimal disparity,Term
Reflective mirror,Non-term
Central processing units (CPU),Non-term
Commercial software application general-purpose,Non-term
Phase congruency map,Term
Snapchat,Non-term
Logical pixel,Term
Nishika,Non-term
Heat diffusion,Non-term
Synthetic-aperture radar,Term
Kinect unit,Term
Intelligence automatic face-recognition system,Term
Hyperparameter,Term
Three-dimensional stereoscopic display format,Non-term
Classical mechanics,Non-term
Cyclodisparity,Non-term
Image retrieval task,Term
Cylindrical lens,Non-term
Fuji,Non-term
ImageNet-1k,Term
Optimal threshold matrix,Term
Driver assistance system,Term
Model instance,Term
Drowsiness detection,Term
Computer vision researcher Takeo Kanade,Term
Neural-network-based handwriting recognition,Term
Robotic navigation,Term
DMR,Non-term
Array set addressing,Non-term
Long duration exposure facility (LDEF),Non-term
Weight1,Non-term
Condensation algorithm implementation,Term
CCTV camera,Term
Feature matching,Term
Small bistratified retinal ganglion cell,Non-term
Video representation,Term
Monocular cue,Non-term
Matrox graphics,Non-term
Interactive feature,Term
Reflectance spectrum,Non-term
Depth level,Term
Ordinary structure tensor,Non-term
Enabling process management information,Non-term
Prototypical first-person vision system,Term
Social acceptability,Non-term
Output pipeline,Non-term
Gaussian scale space,Term
Chnftrs method,Non-term
Transitive lie,Non-term
Video search,Term
Sum of squares of differences (SSD),Term
Digital signal processor,Non-term
Medical device,Non-term
Multi-part,Non-term
Retinopathy,Non-term
Euler operator,Non-term
Principal curvature-based region detector,Term
High-resolution display parallax barrier system,Term
Scale invariance,Non-term
Binocular vision,Term
Topological group,Non-term
Phase micro-object visualization,Term
Mathematical definition,Non-term
Video editing product,Non-term
Color layout descriptor YCbCr color space,Non-term
Hyperbolic geometry,Non-term
Automatic document,Non-term
Hardware improvement,Non-term
Princeton professor Christiane Fellbaum,Non-term
CT image reconstruction,Term
